EDA,Sample,Timestamp,Time,1701384575
0,0,1701384575,17:49:35.00,4
0.654603,1,1701384575,17:49:35.25,
0.72634,2,1701384576,17:49:35.50,
0.73045,3,1701384576,17:49:35.75,
0.598504,4,1701384576,17:49:36.00,
0.520362,5,1701384576,17:49:36.25,
0.494742,6,1701384577,17:49:36.50,
0.521643,7,1701384577,17:49:36.75,
0.551107,8,1701384577,17:49:37.00,
0.570322,9,1701384577,17:49:37.25,
0.56776,10,1701384578,17:49:37.50,
0.566479,11,1701384578,17:49:37.75,
0.563917,12,1701384578,17:49:38.00,
0.552388,13,1701384578,17:49:38.25,
0.544701,14,1701384579,17:49:38.50,
0.540858,15,1701384579,17:49:38.75,
0.531891,16,1701384579,17:49:39.00,
0.520362,17,1701384579,17:49:39.25,
0.502428,18,1701384580,17:49:39.50,
0.49218,19,1701384580,17:49:39.75,
0.488336,20,1701384580,17:49:40.00,
0.433252,21,1701384580,17:49:40.25,
0.297464,22,1701384581,17:49:40.50,
0.215479,23,1701384581,17:49:40.75,
0.194982,24,1701384581,17:49:41.00,
0.19242,25,1701384581,17:49:41.25,
0.186015,26,1701384582,17:49:41.50,
0.203949,27,1701384582,17:49:41.75,
0.207792,28,1701384582,17:49:42.00,
0.221884,29,1701384582,17:49:42.25,
0.223165,30,1701384583,17:49:42.50,
0.481931,31,1701384583,17:49:42.75,
0.513957,32,1701384583,17:49:43.00,
0.521643,33,1701384583,17:49:43.25,
0.528048,34,1701384584,17:49:43.50,
0.531891,35,1701384584,17:49:43.75,
0.537015,36,1701384584,17:49:44.00,
0.535734,37,1701384584,17:49:44.25,
0.528048,38,1701384585,17:49:44.50,
0.53061,39,1701384585,17:49:44.75,
0.531891,40,1701384585,17:49:45.00,
0.537015,41,1701384585,17:49:45.25,
0.539577,42,1701384586,17:49:45.50,
0.542139,43,1701384586,17:49:45.75,
0.547263,44,1701384586,17:49:46.00,
0.551107,45,1701384586,17:49:46.25,
0.551107,46,1701384587,17:49:46.50,
0.551107,47,1701384587,17:49:46.75,
0.549825,48,1701384587,17:49:47.00,
0.544701,49,1701384587,17:49:47.25,
0.537015,50,1701384588,17:49:47.50,
0.521643,51,1701384588,17:49:47.75,
0.520362,52,1701384588,17:49:48.00,
0.522924,53,1701384588,17:49:48.25,
0.525486,54,1701384589,17:49:48.50,
0.522924,55,1701384589,17:49:48.75,
0.535734,56,1701384589,17:49:49.00,
