EDA,Sample,Timestamp,Time,1709836156
0,0,1709836156.00,13:29:16.00,4
0.335507,1,1709836156.25,13:29:16.25,
0.43411,2,1709836156.50,13:29:16.50,
0.440513,3,1709836156.75,13:29:16.75,
0.432829,4,1709836157.00,13:29:17.00,
0.446915,5,1709836157.25,13:29:17.25,
0.45844,6,1709836157.50,13:29:17.50,
0.45716,7,1709836157.75,13:29:17.75,
0.452038,8,1709836158.00,13:29:18.00,
0.461002,9,1709836158.25,13:29:18.25,
0.463563,10,1709836158.50,13:29:18.50,
0.462282,11,1709836158.75,13:29:18.75,
0.462282,12,1709836159.00,13:29:19.00,
0.462282,13,1709836159.25,13:29:19.25,
0.469966,14,1709836159.50,13:29:19.50,
0.473807,15,1709836159.75,13:29:19.75,
0.472527,16,1709836160.00,13:29:20.00,
0.466124,17,1709836160.25,13:29:20.25,
0.464843,18,1709836160.50,13:29:20.50,
0.466124,19,1709836160.75,13:29:20.75,
0.464843,20,1709836161.00,13:29:21.00,
0.45844,21,1709836161.25,13:29:21.25,
0.455879,22,1709836161.50,13:29:21.50,
0.455879,23,1709836161.75,13:29:21.75,
0.455879,24,1709836162.00,13:29:22.00,
0.454599,25,1709836162.25,13:29:22.25,
0.453318,26,1709836162.50,13:29:22.50,
0.448196,27,1709836162.75,13:29:22.75,
0.449477,28,1709836163.00,13:29:23.00,
0.464843,29,1709836163.25,13:29:23.25,
0.466124,30,1709836163.50,13:29:23.50,
0.462282,31,1709836163.75,13:29:23.75,
0.466124,32,1709836164.00,13:29:24.00,
0.464843,33,1709836164.25,13:29:24.25,
0.462282,34,1709836164.50,13:29:24.50,
0.463563,35,1709836164.75,13:29:24.75,
0.467404,36,1709836165.00,13:29:25.00,
0.467404,37,1709836165.25,13:29:25.25,
0.471246,38,1709836165.50,13:29:25.50,
0.467404,39,1709836165.75,13:29:25.75,
0.469966,40,1709836166.00,13:29:26.00,
0.471246,41,1709836166.25,13:29:26.25,
0.472527,42,1709836166.50,13:29:26.50,
0.473807,43,1709836166.75,13:29:26.75,
0.48021,44,1709836167.00,13:29:27.00,
0.471246,45,1709836167.25,13:29:27.25,
0.473807,46,1709836167.50,13:29:27.50,
0.473807,47,1709836167.75,13:29:27.75,
0.472527,48,1709836168.00,13:29:28.00,
0.467404,49,1709836168.25,13:29:28.25,
0.461002,50,1709836168.50,13:29:28.50,
0.463563,51,1709836168.75,13:29:28.75,
0.471246,52,1709836169.00,13:29:29.00,
0.468685,53,1709836169.25,13:29:29.25,
0.48021,54,1709836169.50,13:29:29.50,
0.481491,55,1709836169.75,13:29:29.75,
0.472527,56,1709836170.00,13:29:30.00,
0.461002,57,1709836170.25,13:29:30.25,
0.463563,58,1709836170.50,13:29:30.50,
0.462282,59,1709836170.75,13:29:30.75,
0.466124,60,1709836171.00,13:29:31.00,
0.467404,61,1709836171.25,13:29:31.25,
0.466124,62,1709836171.50,13:29:31.50,
0.464843,63,1709836171.75,13:29:31.75,
0.467404,64,1709836172.00,13:29:32.00,
0.468685,65,1709836172.25,13:29:32.25,
0.466124,66,1709836172.50,13:29:32.50,
0.468685,67,1709836172.75,13:29:32.75,
0.469966,68,1709836173.00,13:29:33.00,
0.469966,69,1709836173.25,13:29:33.25,
0.467404,70,1709836173.50,13:29:33.50,
0.469966,71,1709836173.75,13:29:33.75,
0.472527,72,1709836174.00,13:29:34.00,
0.472527,73,1709836174.25,13:29:34.25,
0.477649,74,1709836174.50,13:29:34.50,
0.482771,75,1709836174.75,13:29:34.75,
0.500699,76,1709836175.00,13:29:35.00,
0.510943,77,1709836175.25,13:29:35.25,
0.512224,78,1709836175.50,13:29:35.50,
0.498138,79,1709836175.75,13:29:35.75,
0.498138,80,1709836176.00,13:29:36.00,
0.513505,81,1709836176.25,13:29:36.25,
0.517346,82,1709836176.50,13:29:36.50,
0.514785,83,1709836176.75,13:29:36.75,
0.517346,84,1709836177.00,13:29:37.00,
0.523749,85,1709836177.25,13:29:37.25,
0.533994,86,1709836177.50,13:29:37.50,
0.541677,87,1709836177.75,13:29:37.75,
0.544238,88,1709836178.00,13:29:38.00,
0.545519,89,1709836178.25,13:29:38.25,
0.545519,90,1709836178.50,13:29:38.50,
0.54808,91,1709836178.75,13:29:38.75,
0.546799,92,1709836179.00,13:29:39.00,
0.54808,93,1709836179.25,13:29:39.25,
0.550641,94,1709836179.50,13:29:39.50,
0.530152,95,1709836179.75,13:29:39.75,
0.537835,96,1709836180.00,13:29:40.00,
0.516066,97,1709836180.25,13:29:40.25,
0.513505,98,1709836180.50,13:29:40.50,
0.519907,99,1709836180.75,13:29:40.75,
0.519907,100,1709836181.00,13:29:41.00,
0.518627,101,1709836181.25,13:29:41.25,
0.528871,102,1709836181.50,13:29:41.50,
0.533994,103,1709836181.75,13:29:41.75,
0.535274,104,1709836182.00,13:29:42.00,
0.537835,105,1709836182.25,13:29:42.25,
0.54936,106,1709836182.50,13:29:42.50,
0.546799,107,1709836182.75,13:29:42.75,
0.544238,108,1709836183.00,13:29:43.00,
0.539116,109,1709836183.25,13:29:43.25,
0.533994,110,1709836183.50,13:29:43.50,
0.535274,111,1709836183.75,13:29:43.75,
0.537835,112,1709836184.00,13:29:44.00,
0.539116,113,1709836184.25,13:29:44.25,
0.536555,114,1709836184.50,13:29:44.50,
0.535274,115,1709836184.75,13:29:44.75,
0.537835,116,1709836185.00,13:29:45.00,
0.539116,117,1709836185.25,13:29:45.25,
0.541677,118,1709836185.50,13:29:45.50,
0.541677,119,1709836185.75,13:29:45.75,
0.544238,120,1709836186.00,13:29:46.00,
0.540396,121,1709836186.25,13:29:46.25,
0.550641,122,1709836186.50,13:29:46.50,
0.554483,123,1709836186.75,13:29:46.75,
0.555763,124,1709836187.00,13:29:47.00,
0.555763,125,1709836187.25,13:29:47.25,
0.560885,126,1709836187.50,13:29:47.50,
0.557044,127,1709836187.75,13:29:47.75,
0.553202,128,1709836188.00,13:29:48.00,
0.546799,129,1709836188.25,13:29:48.25,
0.545519,130,1709836188.50,13:29:48.50,
0.540396,131,1709836188.75,13:29:48.75,
0.531432,132,1709836189.00,13:29:49.00,
0.528871,133,1709836189.25,13:29:49.25,
0.555763,134,1709836189.50,13:29:49.50,
0.555763,135,1709836189.75,13:29:49.75,
0.555763,136,1709836190.00,13:29:50.00,
0.558324,137,1709836190.25,13:29:50.25,
0.558324,138,1709836190.50,13:29:50.50,
0.559605,139,1709836190.75,13:29:50.75,
0.559605,140,1709836191.00,13:29:51.00,
0.560885,141,1709836191.25,13:29:51.25,
0.559605,142,1709836191.50,13:29:51.50,
0.562166,143,1709836191.75,13:29:51.75,
0.562166,144,1709836192.00,13:29:52.00,
0.563446,145,1709836192.25,13:29:52.25,
0.563446,146,1709836192.50,13:29:52.50,
0.558324,147,1709836192.75,13:29:52.75,
0.560885,148,1709836193.00,13:29:53.00,
0.557044,149,1709836193.25,13:29:53.25,
0.562166,150,1709836193.50,13:29:53.50,
0.566008,151,1709836193.75,13:29:53.75,
0.567288,152,1709836194.00,13:29:54.00,
0.567288,153,1709836194.25,13:29:54.25,
0.564727,154,1709836194.50,13:29:54.50,
0.567288,155,1709836194.75,13:29:54.75,
0.568569,156,1709836195.00,13:29:55.00,
0.57241,157,1709836195.25,13:29:55.25,
0.569849,158,1709836195.50,13:29:55.50,
0.577533,159,1709836195.75,13:29:55.75,
0.576252,160,1709836196.00,13:29:56.00,
0.577533,161,1709836196.25,13:29:56.25,
0.582655,162,1709836196.50,13:29:56.50,
0.580094,163,1709836196.75,13:29:56.75,
0.567288,164,1709836197.00,13:29:57.00,
0.57113,165,1709836197.25,13:29:57.25,
0.574971,166,1709836197.50,13:29:57.50,
0.577533,167,1709836197.75,13:29:57.75,
0.582655,168,1709836198.00,13:29:58.00,
0.585216,169,1709836198.25,13:29:58.25,
0.582655,170,1709836198.50,13:29:58.50,
0.582655,171,1709836198.75,13:29:58.75,
0.581374,172,1709836199.00,13:29:59.00,
0.582655,173,1709836199.25,13:29:59.25,
0.583935,174,1709836199.50,13:29:59.50,
0.582655,175,1709836199.75,13:29:59.75,
0.582655,176,1709836200.00,13:30:00.00,
0.583935,177,1709836200.25,13:30:00.25,
0.585216,178,1709836200.50,13:30:00.50,
0.587777,179,1709836200.75,13:30:00.75,
0.581374,180,1709836201.00,13:30:01.00,
0.581374,181,1709836201.25,13:30:01.25,
0.580094,182,1709836201.50,13:30:01.50,
0.582655,183,1709836201.75,13:30:01.75,
