"Timestamp","Given the exclusion criteria, please confirm that you qualify to participate in the experiment:","Print Prolific ID (as substitute for Name)","Please initial one option below to indicate whether or not you consent to us contacting you in the future:","Print Participant's Initials (as substitute for signature)","Please indicate your consent:"
"2024/02/20 1:29:38 PM AST","Yes","64c0a2d8031339ab6ec5e54a","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","A.B","I consent"
"2024/02/20 1:31:39 PM AST","Yes","59ac5e9f9fdf6c0001cba8bf","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/03/01 2:52:48 PM AST","Yes","75G","I do not wish to be contacted about participating in future research studies.","TestMT","I consent"
"2024/03/07 2:36:27 PM AST","Yes","5ecd4acdb218ec085c6eefe6","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","dp","I consent"
"2024/03/07 2:36:37 PM AST","Yes","6234d77291179c1badffad36","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","BS","I consent"
"2024/03/07 2:36:42 PM AST","Yes","46Y","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","PB","I consent"
"2024/03/07 2:36:49 PM AST","Yes","5c1053202b16ba0001c86317","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","cl","I consent"
"2024/03/07 2:36:53 PM AST","Yes","631c8e97db06f601f81bd82f","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","gm","I consent"
"2024/03/07 2:36:55 PM AST","Yes","5d88db42c1d06e001a1fdcab","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","cs","I consent"
"2024/03/07 2:36:57 PM AST","Yes","5d012930cfeb82001817c9c9","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","GL","I consent"
"2024/03/07 2:37:01 PM AST","Yes","24Z","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AN","I consent"
"2024/03/07 2:37:02 PM AST","Yes","76J","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","GC","I consent"
"2024/03/07 2:37:09 PM AST","Yes","59e7d3f97f3d71000171def0","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","JR","I consent"
"2024/03/07 2:37:14 PM AST","Yes","16W","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AG","I consent"
"2024/03/07 2:37:26 PM AST","Yes","41X","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","T.K.","I consent"
"2024/03/07 2:37:32 PM AST","Yes","24O","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","CBS","I consent"
"2024/03/07 2:37:33 PM AST","Yes","77U","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","RM","I consent"
"2024/03/07 2:37:39 PM AST","Yes","63e537a4b33c1c72be91da82","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AS","I consent"
"2024/03/07 2:37:52 PM AST","Yes","5d88db42c1d06e001a1fdcab","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","cs","I consent"
"2024/03/07 2:38:13 PM AST","Yes","5ed543442db0060a955d12e1","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AAP","I consent"
"2024/03/07 2:38:19 PM AST","Yes","6480bdf6d433e2e158870605","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","6480bdf6d433e2e158870605","I consent"
"2024/03/07 2:38:29 PM AST","Yes","65d942ce4ea2fe978c283416","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","HH","I consent"
"2024/03/07 2:38:31 PM AST","Yes","57a6d7fac6144900014a47e7","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","DM","I consent"
"2024/03/07 2:38:56 PM AST","Yes","6517301b6d21d25e19c7e501","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AV","I consent"
"2024/03/07 2:39:50 PM AST","Yes","5d453e8723a5bb0001492546","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","ZZ","I consent"
"2024/03/07 2:42:10 PM AST","Yes","6287a8c4a6303ff156cd0853","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","TH","I consent"
"2024/03/07 2:53:21 PM AST","Yes","6558c5afa08ee83a08287f09","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","CT","I consent"
"2024/03/12 9:52:06 AM AST","Yes","93I","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","qwe","I consent"
"2024/03/12 9:54:42 AM AST","Yes","21G","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/03/14 1:29:18 PM AST","Yes","646f77d9a7d75c8264dba865","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","SH","I consent"
"2024/03/14 1:30:55 PM AST","Yes","65c128df79c460e6c2c07adc","I do not wish to be contacted about participating in future research studies.","BD","I consent"
"2024/03/14 1:31:18 PM AST","Yes","600f9342e7bc5518fa9ca92a","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","Jerry Dong","I consent"
"2024/03/14 1:31:23 PM AST","Yes","564d1fedb48dec0005b5191d","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","RAH","I consent"
"2024/03/14 1:31:24 PM AST","Yes","615252fe3ac6a44f68bdc779","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","FC","I consent"
"2024/03/14 1:31:25 PM AST","Yes","5f7529755aaa0e1a6e804640","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","KB","I consent"
"2024/03/14 1:31:34 PM AST","Yes","5669ac845bd4ff0011159b4a","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","5669ac845bd4ff0011159b4a","I consent"
"2024/03/14 1:31:41 PM AST","Yes","5ef4d8b87faaa00c0dea0c4e","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","JL","I consent"
"2024/03/14 1:32:03 PM AST","Yes","56f9364e895094000c8f4967","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","np","I consent"
"2024/03/14 1:32:23 PM AST","Yes","65a2bc0d60b1e46f4e1d3cc8","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","NA","I consent"
"2024/03/14 1:32:34 PM AST","Yes","657322bd0c81d1e8853d38e8","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","SH","I consent"
"2024/03/14 1:32:39 PM AST","Yes","60ff7c8f4f066ccf6fe05587","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","KI","I consent"
"2024/03/14 1:33:04 PM AST","Yes","568e7e33e3ef9e000da202a7","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","DF","I consent"
"2024/03/14 1:35:47 PM AST","Yes","5c3151aa0cfe9a00012f6f3f","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.",".hp","I consent"
"2024/03/14 1:37:06 PM AST","Yes","40C","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","Pau Batlle Franch","I consent"
"2024/03/14 1:37:36 PM AST","Yes","44L","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","MF","I consent"
"2024/03/14 1:37:40 PM AST","Yes","81F","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","JL","I consent"
"2024/03/14 1:38:09 PM AST","Yes","Elizabeth Xiao","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","EX","I consent"
"2024/03/14 1:39:57 PM AST","Yes","6554ea58c859388bc801973c","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","NB","I consent"
"2024/03/14 1:40:03 PM AST","Yes","10Q","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","PBF","I consent"
"2024/03/14 1:40:28 PM AST","Yes","60X","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AK","I consent"
"2024/03/14 1:44:06 PM AST","Yes","67V","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","BW","I consent"
"2024/04/04 3:00:42 PM AST","Yes","655fa05b1303f59972ea6555","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","CA","I consent"
"2024/04/04 3:00:45 PM AST","Yes","5e1545d9b1fb05b6369d13e8","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AC","I consent"
"2024/04/04 3:01:03 PM AST","Yes","90M","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","JM","I consent"
"2024/04/04 3:01:09 PM AST","Yes","63d15e1be853005ff591b935","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","CC","I consent"
"2024/04/04 3:01:22 PM AST","Yes","47R","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","MA","I consent"
"2024/04/04 3:01:31 PM AST","Yes","07C","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","AP","I consent"
"2024/04/04 3:01:57 PM AST","Yes","63868eb7abcf3f247da6f52b","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","FD","I consent"
"2024/04/04 3:02:16 PM AST","Yes","31O","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","YK","I consent"
"2024/04/04 3:02:22 PM AST","Yes","5bf311373a5bf00001401f64","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","5bf311373a5bf00001401f64","I consent"
"2024/04/04 3:02:26 PM AST","Yes","64d5219df0415c9a7c609c19","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","LIM","I consent"
"2024/04/04 3:02:44 PM AST","Yes","5f48002958dd331635f1d767","","HO","I consent"
"2024/04/04 3:03:02 PM AST","Yes","5e8b32ec2c33ae7f20a0b401","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","yb","I consent"
"2024/04/04 3:03:02 PM AST","Yes","63X","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","VNV","I consent"
"2024/04/04 3:03:14 PM AST","Yes","6109de45d2153a9e677a847e","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","AS","I consent"
"2024/04/04 3:03:48 PM AST","Yes","5eb5f6d5e38e9f4e6c8dde3f","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","DT","I consent"
"2024/04/04 3:04:39 PM AST","Yes","63e576170eb086a90644efb4","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","ql","I consent"
"2024/04/04 3:04:45 PM AST","Yes","612517df29cd32c6632b4a44","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","XX","I consent"
"2024/04/04 3:04:47 PM AST","Yes","65f4ab7884f8411c9e11a34e","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","JR","I consent"
"2024/04/04 3:06:21 PM AST","Yes","31O","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","YK","I consent"
"2024/04/04 3:09:34 PM AST","Yes","63bed6e176fba857a47fbaff","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","Gladys","I consent"
"2024/06/04 10:28:40 AM AST","Yes","343g6dp8_01B","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","rls","I consent"
"2024/06/04 10:53:41 AM AST","Yes","t8osyu7s_80B","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","rls","I consent"
"2024/06/04 2:03:07 PM AST","Yes","65771b60491a7f2586a8e76e","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","KS","I consent"
"2024/06/04 2:03:41 PM AST","Yes","vbm55dq7_28W","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","LH","I consent"
"2024/06/04 2:03:50 PM AST","Yes","59966e89a2bbe000018834b8","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","COA","I consent"
"2024/06/04 2:03:57 PM AST","Yes","664639dd4711fff56d77ada4","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","PP","I consent"
"2024/06/04 2:03:58 PM AST","Yes","652bec7edafaf7eb52260adc","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","KB","I consent"
"2024/06/04 2:04:30 PM AST","Yes","5c56964991c0ad0001cfa5ae","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","ADM","I consent"
"2024/06/04 2:04:36 PM AST","Yes","632a1ae0d2c0c28e680e9c5a","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","rjs","I consent"
"2024/06/04 2:05:05 PM AST","Yes","647e0f22b1d466181ae694c4","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","ML","I consent"
"2024/06/04 2:05:47 PM AST","Yes","6646002255b1bdcfe331c5c4","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","KG","I consent"
"2024/06/04 2:06:03 PM AST","Yes","vbm55dq7_96M","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","DSJ","I consent"
"2024/06/04 2:06:19 PM AST","Yes","6090578fb2299eacaec32b7a","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AT","I consent"
"2024/06/04 2:06:45 PM AST","Yes","66293cc1dcfaa310dd0f711b","I do not wish to be contacted about participating in future research studies.","CN","I consent"
"2024/06/04 2:07:12 PM AST","Yes","62b0ff84054c6ca32f481c65","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","KS","I consent"
"2024/06/04 2:07:18 PM AST","Yes","vbm55dq7_63A","I do not wish to be contacted about participating in future research studies.","MY","I consent"
"2024/06/04 2:07:19 PM AST","Yes","62e19208352cd518d7b2f085","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","KS","I consent"
"2024/06/04 2:07:24 PM AST","Yes","6638e8aa3d1f38846080806a","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","GTC","I consent"
"2024/06/04 2:07:26 PM AST","Yes","66463e4efb99fba5a67a010a","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","J F","I consent"
"2024/06/04 2:07:43 PM AST","Yes","5e9f3f09ccc75a0c345e4845","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","sd","I consent"
"2024/06/04 2:07:57 PM AST","Yes","vbm55dq7_55W","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","RA","I consent"
"2024/06/04 2:08:16 PM AST","Yes","5fb8c064339ea562edc00d73","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","KM","I consent"
"2024/06/04 2:08:38 PM AST","Yes","664299802cd8985e29fc6573","I do not wish to be contacted about participating in future research studies.","CS","I consent"
"2024/06/04 2:09:03 PM AST","Yes","vbm55dq7_92P","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","AB","I consent"
"2024/06/04 2:10:52 PM AST","Yes","vbm55dq7_60Q","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","AN","I consent"
"2024/06/04 2:11:14 PM AST","Yes","6639294aecf47d087656fe71","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","tec","I consent"
"2024/06/04 2:18:07 PM AST","Yes","65fae5364f7c7bd6c75658b6","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","PM","I consent"
"2024/06/04 2:18:57 PM AST","Yes","65fae5364f7c7bd6c75658b6","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","PM","I consent"
"2024/06/14 11:35:33 PM AST","Yes","d0nkn0ji_77M","I do not wish to be contacted about participating in future research studies.","MT","I consent"
"2024/06/20 12:58:22 PM AST","Yes","5d63179aa3b94d0001da4bb6","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","KB","I consent"
"2024/06/20 12:58:30 PM AST","Yes","653703627539f3a8b2ed4af3","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","JS","I consent"
"2024/06/20 12:58:52 PM AST","Yes","6642bc68a8130f486d2ae4b0","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","cs","I consent"
