"Timestamp","Given the exclusion criteria, please confirm that you qualify to participate in the experiment:","Print Prolific ID (as substitute for Name)","Please initial one option below to indicate whether or not you consent to us contacting you in the future:","Print Participant's Initials (as substitute for signature)","Please indicate your consent:"
"2024/01/18 5:44:58 PM AST","Yes","Test MT","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","MT","I consent"
"2024/02/16 1:04:30 AM AST","Yes","10Q","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","rls","I consent"
"2024/02/16 1:17:00 AM AST","No","10Q","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","rls","I consent"
"2024/02/16 1:24:07 AM AST","Yes","67T","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","rls","I consent"
"2024/02/16 1:25:23 AM AST","Yes","67T","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","rls","I consent"
"2024/02/16 1:32:15 AM AST","Yes","18Q","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","rls","I consent"
"2024/02/16 1:44:49 AM AST","Yes","88X","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","rls","I consent"
"2024/02/16 2:01:11 AM AST","No","70A","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","wer","I consent"
"2024/02/16 3:47:24 PM AST","Yes","fakeprolificid8297k3y9df","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","rls","I consent"
"2024/02/17 12:02:48 AM AST","Yes","49D","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","wer","I consent"
"2024/02/17 12:03:57 AM AST","No","49D","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","asdf","I consent"
"2024/02/17 8:04:55 AM AST","Yes","69E","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","sdfsd","I consent"
"2024/02/17 8:14:12 AM AST","Yes","16H","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","wer","I consent"
"2024/02/17 8:14:24 AM AST","Yes","93I","","","I consent"
"2024/02/17 12:26:54 PM AST","Yes","24X","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","er","I consent"
"2024/02/17 1:11:40 PM AST","Yes","Test Mihai Feb 17th","I do not wish to be contacted about participating in future research studies.","MT","I consent"
"2024/02/17 2:57:12 PM AST","Yes","56R","I do not wish to be contacted about participating in future research studies.","MT","I consent"
"2024/02/17 2:57:22 PM AST","Yes","66T","I do not wish to be contacted about participating in future research studies.","234","I consent"
"2024/02/17 2:58:33 PM AST","Yes","10X","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","sd","I consent"
"2024/02/17 3:02:55 PM AST","Yes","79Q","I do not wish to be contacted about participating in future research studies.","sdf","I consent"
"2024/02/17 3:04:52 PM AST","Yes","79Q","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/02/17 3:06:09 PM AST","Yes","79Q","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/02/17 3:09:56 PM AST","Yes","43H","I do not wish to be contacted about participating in future research studies.","MT","I consent"
"2024/02/17 3:10:03 PM AST","Yes","11H","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","sdf","I consent"
"2024/02/18 9:37:34 PM AST","Yes","91J","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/02/20 11:02:51 AM AST","Yes","81Y","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/02/20 11:08:17 AM AST","No","38J","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","67","I consent"
"2024/02/20 11:09:44 AM AST","Yes","38J","","","I consent"
"2024/02/20 11:11:20 AM AST","Yes","40W","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","","I consent"
"2024/02/20 11:32:00 AM AST","Yes","65J","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","pdf","I consent"
"2024/02/20 11:34:27 AM AST","Yes","28U","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","we","I consent"
"2024/02/20 11:35:29 AM AST","Yes","65R","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","","I consent"
"2024/02/20 12:32:46 PM AST","Yes","90Z","I do not wish to be contacted about participating in future research studies.","TestMT","I consent"
"2024/02/20 12:32:54 PM AST","Yes","22D","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by for-profit companies and other commercial entities.","wer","I consent"
"2024/02/20 12:46:57 PM AST","Yes","54T","I do not wish to be contacted about participating in future research studies.","MT","I consent"
"2024/02/20 12:47:35 PM AST","Yes","01D","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","qw","I consent"
"2024/02/20 1:26:52 PM AST","Yes","63cff262503b56190be3eb18","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","bs","I consent"
"2024/02/20 1:26:58 PM AST","Yes","62bdc30224534809032cf056","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","TN","I consent"
"2024/02/20 1:27:02 PM AST","Yes","5c8db07eb1f89a0016777fe0","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","BD","I consent"
"2024/02/20 1:27:03 PM AST","Yes","5f3d6975ef131710ed519c7a","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","BS","I consent"
"2024/02/20 1:27:05 PM AST","Yes","63254db937c17e8e9200fd54","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","IL","I consent"
"2024/02/20 1:27:05 PM AST","Yes","63614899ad49a91f1ef09067","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","jlg","I consent"
"2024/02/20 1:27:12 PM AST","Yes","561487ad7ffc8a0012812266","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","TS","I consent"
"2024/02/20 1:27:14 PM AST","Yes","614f89a9441723072040d4de","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","RB","I consent"
"2024/02/20 1:27:45 PM AST","Yes","60c4e1091b936c7b812e5af4","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","DF","I consent"
"2024/02/20 1:28:02 PM AST","Yes","650d90ebf26334f992c31579","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","JV","I consent"
"2024/02/20 1:28:03 PM AST","Yes","59d9d9cd8fd07a0001842484","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","JHS","I consent"
"2024/02/20 1:28:06 PM AST","Yes","5dd2f94a238a913096c52317","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","JH","I consent"
"2024/02/20 1:28:13 PM AST","Yes","5e2e7d79acf5fe45b62f859a","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","JCG","I consent"
"2024/02/20 1:28:15 PM AST","Yes","629e241d171ec6698e05f149","I consent to having Caltech researchers contact me about any other studies at Caltech, regardless of regardless of who is funding the research.","jn","I consent"
"2024/02/20 1:28:20 PM AST","Yes","5d4869cc692e5400197a980c","I do not wish to be contacted about participating in future research studies.","LH","I consent"
"2024/02/20 1:28:32 PM AST","Yes","5e5e623737be5e1762ad4418","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","JV","I consent"
"2024/02/20 1:28:39 PM AST","Yes","5ecc6ffce3ca77849333e83e","I consent to having Caltech researchers contact me about other studies at Caltech that are funded by non-profit organizations, government agencies, universities, and other non-commercial entities.","jl","I consent"
